swap_index,sol_in_SOL,price_per_token_SOL,retain_multiplier,total_sol_raised,total_tokens_minted,tokens_out_estimate,tokens_out_actual
198,0.006200,3.0293475118e-8,0.1583777497,1.227600,42181802000000000,204705000000000,204705000000000
199,0.006200,3.0305505385e-8,0.1584400382,1.233800,42386426000000000,204624000000000,204624000000000
200,0.006200,3.0317538041e-8,0.1585023267,1.240000,42590969000000000,204543000000000,204543000000000
201,0.006200,3.0329573085e-8,0.1585646152,1.246200,42795430000000000,204461000000000,204461000000000
202,0.006200,3.0341610517e-8,0.1586269037,1.252400,42999811000000000,204381000000000,204381000000000
203,0.006200,3.0353650338e-8,0.1586891922,1.258600,43204110000000000,204299000000000,204299000000000
204,0.006200,3.0365692547e-8,0.1587514807,1.264800,43408328000000000,204218000000000,204218000000000
205,0.006200,3.0377737144e-8,0.1588137692,1.271000,43612466000000000,204138000000000,204138000000000
206,0.006200,3.0389784130e-8,0.1588760577,1.277200,43816522000000000,204056000000000,204056000000000
207,0.006200,3.0401833503e-8,0.1589383463,1.283400,44020498000000000,203976000000000,203976000000000
208,0.006200,3.0413885265e-8,0.1590006348,1.289600,44224392000000000,203894000000000,203894000000000
209,0.006200,3.0425939416e-8,0.1590629233,1.295800,44428206000000000,203814000000000,203814000000000
210,0.006200,3.0437995954e-8,0.1591252118,1.302000,44631939000000000,203733000000000,203733000000000
211,0.006200,3.0450054881e-8,0.1591875003,1.308200,44835592000000000,203653000000000,203653000000000
212,0.006200,3.0462116196e-8,0.1592497888,1.314400,45039163000000000,203571000000000,203571000000000
213,0.006200,3.0474179900e-8,0.1593120773,1.320600,45242655000000000,203492000000000,203492000000000
214,0.006200,3.0486245991e-8,0.1593743658,1.326800,45446065000000000,203410000000000,203410000000000
215,0.006200,3.0498314471e-8,0.1594366543,1.333000,45649395000000000,203330000000000,203330000000000
216,0.006200,3.0510385340e-8,0.1594989428,1.339200,45852645000000000,203250000000000,203250000000000
217,0.006200,3.0522458596e-8,0.1595612314,1.345400,46055814000000000,203169000000000,203169000000000
218,0.006200,3.0534534241e-8,0.1596235199,1.351600,46258903000000000,203089000000000,203089000000000
219,0.006200,3.0546612274e-8,0.1596858084,1.357800,46461912000000000,203009000000000,203009000000000
220,0.006200,3.0558692696e-8,0.1597480969,1.364000,46664840000000000,202928000000000,202928000000000
221,0.006200,3.0570775505e-8,0.1598103854,1.370200,46867689000000000,202849000000000,202849000000000
222,0.006200,3.0582860703e-8,0.1598726739,1.376400,47070457000000000,202768000000000,202768000000000
223,0.006200,3.0594948289e-8,0.1599349624,1.382600,47273144000000000,202687000000000,202687000000000
224,0.006200,3.0607038264e-8,0.1599972509,1.388800,47475752000000000,202608000000000,202608000000000
225,0.006200,3.0619130627e-8,0.1600595394,1.395000,47678280000000000,202528000000000,202528000000000
226,0.006200,3.0631225378e-8,0.1601218279,1.401200,47880728000000000,202448000000000,202448000000000
227,0.006200,3.0643322517e-8,0.1601841165,1.407400,48083096000000000,202368000000000,202368000000000
228,0.006200,3.0655422045e-8,0.1602464050,1.413600,48285384000000000,202288000000000,202288000000000
229,0.006200,3.0667523961e-8,0.1603086935,1.419800,48487592000000000,202208000000000,202208000000000
230,0.006200,3.0679628265e-8,0.1603709820,1.426000,48689720000000000,202128000000000,202128000000000
231,0.006200,3.0691734957e-8,0.1604332705,1.432200,48891769000000000,202049000000000,202049000000000
232,0.006200,3.0703844038e-8,0.1604955590,1.438400,49093738000000000,201969000000000,201969000000000
233,0.006200,3.0715955507e-8,0.1605578475,1.444600,49295627000000000,201889000000000,201889000000000
234,0.006200,3.0728069364e-8,0.1606201360,1.450800,49497437000000000,201810000000000,201810000000000
235,0.006200,3.0740185610e-8,0.1606824245,1.457000,49699167000000000,201730000000000,201730000000000
236,0.006200,3.0752304244e-8,0.1607447130,1.463200,49900818000000000,201651000000000,201651000000000
237,0.006200,3.0764425266e-8,0.1608070016,1.469400,50102389000000000,201571000000000,201571000000000
238,0.006200,3.0776548676e-8,0.1608692901,1.475600,50303881000000000,201492000000000,201492000000000
239,0.006200,3.0788674475e-8,0.1609315786,1.481800,50505293000000000,201412000000000,201412000000000
240,0.006200,3.0800802662e-8,0.1609938671,1.488000,50706626000000000,201333000000000,201333000000000
241,0.006200,3.0812933237e-8,0.1610561556,1.494200,50907880000000000,201254000000000,201254000000000
242,0.006200,3.0825066201e-8,0.1611184441,1.500400,51109055000000000,201175000000000,201175000000000
243,0.006200,3.0837201553e-8,0.1611807326,1.506600,51310150000000000,201095000000000,201095000000000
244,0.006200,3.0849339293e-8,0.1612430211,1.512800,51511166000000000,201016000000000,201016000000000
245,0.006200,3.0861479421e-8,0.1613053096,1.519000,51712103000000000,200937000000000,200937000000000
246,0.006200,3.0873621938e-8,0.1613675981,1.525200,51912962000000000,200859000000000,200859000000000
247,0.006200,3.0885766843e-8,0.1614298866,1.531400,52113741000000000,200779000000000,200779000000000
248,0.006200,3.0897914136e-8,0.1614921752,1.537600,52314441000000000,200700000000000,200700000000000
249,0.006200,3.0910063818e-8,0.1615544637,1.543800,52515062000000000,200621000000000,200621000000000
250,0.006200,3.0922215887e-8,0.1616167522,1.550000,52715605000000000,200543000000000,200543000000000
251,0.006200,3.0934370345e-8,0.1616790407,1.556200,52916069000000000,200464000000000,200464000000000
252,0.006200,3.0946527192e-8,0.1617413292,1.562400,53116454000000000,200385000000000,200385000000000
253,0.006200,3.0958686426e-8,0.1618036177,1.568600,53316760000000000,200306000000000,200306000000000
254,0.006200,3.0970848049e-8,0.1618659062,1.574800,53516987000000000,200227000000000,200227000000000
255,0.006200,3.0983012061e-8,0.1619281947,1.581000,53717136000000000,200149000000000,200149000000000
